,NIP,Cl_Parcours1,Cl_T1,X_abscisse
392,N201804566,1.0,3.0,70.99494097807828
455,N201805750,1.0,3.0,71.16357504215922
22,N199703916,1.0,3.0,71.33220910624017
75,N200904254,1.0,3.0,71.50084317032112
84,N201006229,1.0,3.0,71.66947723440207
57,N200705092,1.0,3.0,71.83811129848301
525,N201806591,1.0,3.0,72.00674536256396
547,N201806931,1.0,3.0,72.17537942664491
397,N201804637,1.0,3.0,72.34401349072586
498,N201806418,1.0,3.0,72.5126475548068
555,N201807061,1.0,3.0,72.68128161888775
71,N200903189,1.0,3.0,72.8499156829687
99,N201201037,1.0,3.0,73.01854974704965
574,N201807436,1.0,3.0,73.1871838111306
93,N201105263,1.0,3.0,73.35581787521154
586,N201900011,1.0,3.0,73.52445193929249
421,N201805133,1.0,3.0,73.69308600337344
561,N201807177,1.0,3.0,73.86172006745439
460,N201805831,1.0,3.0,74.03035413153533
577,N201900002,1.0,3.0,74.19898819561628
408,N201804914,1.0,3.0,74.36762225969723
443,N201805486,1.0,3.0,74.53625632377818
65,N200803270,1.0,3.0,74.70489038785912
413,N201805059,1.0,3.0,74.87352445194007
492,N201806335,1.0,3.0,75.04215851602102
183,N201600638,1.0,3.0,75.21079258010197
162,N201502877,1.0,3.0,75.37942664418291
175,N201506332,1.0,3.0,75.54806070826386
156,N201501780,1.0,3.0,75.71669477234481
44,N200503450,1.0,3.0,75.88532883642576
374,N201803999,1.0,3.0,76.0539629005067
40,N200303693,1.0,3.0,76.22259696458765
197,N201602984,1.0,3.0,76.3912310286686
190,N201601545,1.0,3.0,76.55986509274955
398,N201804656,1.0,3.0,76.7284991568305
506,N201806478,1.0,3.0,76.89713322091144
402,N201804723,1.0,3.0,77.06576728499239
166,N201503772,1.0,3.0,77.23440134907334
490,N201806295,1.0,3.0,77.40303541315429
64,N200802981,1.0,3.0,77.57166947723523
21,N199702998,1.0,3.0,77.74030354131618
13,N199202365,1.0,3.0,77.90893760539713
588,N201900013,1.0,3.0,78.07757166947808
468,N201805962,1.0,3.0,78.24620573355902
6,N198702410,1.0,3.0,78.41483979763997
4,N198600228,1.0,3.0,78.58347386172092
55,N200702163,1.0,3.0,78.75210792580187
540,N201806789,1.0,3.0,78.92074198988281
18,N199501223,1.0,3.0,79.08937605396376
16,N199402447,1.0,3.0,79.25801011804471
59,N200801968,1.0,3.0,79.42664418212566
388,N201804400,2.0,0.0,79.5952782462066
430,N201805263,2.0,0.0,79.76391231028755
433,N201805285,2.0,0.0,79.9325463743685
462,N201805884,2.0,0.0,80.10118043844945
515,N201806524,2.0,0.0,80.2698145025304
554,N201807048,2.0,0.0,80.43844856661134
526,N201806595,2.0,0.0,80.60708263069229
494,N201806345,2.0,0.0,80.77571669477324
505,N201806465,2.0,0.0,80.94435075885418
528,N201806606,2.0,0.0,81.11298482293513
579,N201900004,2.0,0.0,81.28161888701608
470,N201805973,2.0,0.0,81.45025295109703
399,N201804663,2.0,0.0,81.61888701517798
386,N201804388,2.0,0.0,81.78752107925892
403,N201804738,2.0,0.0,81.95615514333987
467,N201805939,2.0,0.0,82.12478920742082
519,N201806566,2.0,0.0,82.29342327150177
479,N201806159,2.0,0.0,82.46205733558271
545,N201806902,2.0,0.0,82.63069139966366
522,N201806582,2.0,0.0,82.79932546374461
473,N201806047,2.0,0.0,82.96795952782556
491,N201806314,2.0,0.0,83.1365935919065
538,N201806746,2.0,0.0,83.30522765598745
302,N201801916,2.0,1.0,83.4738617200684
290,N201801535,2.0,1.0,83.64249578414935
284,N201801449,2.0,1.0,83.8111298482303
312,N201802212,2.0,1.0,83.97976391231124
367,N201803788,2.0,1.0,84.14839797639219
371,N201803896,2.0,1.0,84.31703204047314
301,N201801868,2.0,1.0,84.48566610455408
330,N201802729,2.0,1.0,84.65430016863503
300,N201801864,2.0,1.0,84.82293423271598
356,N201803567,2.0,1.0,84.99156829679693
320,N201802518,2.0,1.0,85.16020236087788
270,N201800517,2.0,2.0,85.32883642495882
276,N201800916,2.0,2.0,85.49747048903977
359,N201803645,2.0,2.0,85.66610455312072
395,N201804618,2.0,3.0,85.83473861720167
417,N201805111,2.0,3.0,86.00337268128261
415,N201805100,2.0,3.0,86.17200674536356
428,N201805250,2.0,3.0,86.34064080944451
449,N201805591,2.0,3.0,86.50927487352546
425,N201805196,2.0,3.0,86.6779089376064
391,N201804565,2.0,3.0,86.84654300168735
463,N201805900,2.0,3.0,87.0151770657683
477,N201806116,2.0,3.0,87.18381112984925
427,N201805242,2.0,3.0,87.3524451939302
484,N201806241,2.0,3.0,87.52107925801114
452,N201805724,2.0,3.0,87.68971332209209
475,N201806070,2.0,3.0,87.85834738617304
513,N201806507,2.0,3.0,88.02698145025398
533,N201806682,2.0,3.0,88.19561551433493
520,N201806567,2.0,3.0,88.36424957841588
489,N201806287,2.0,3.0,88.53288364249683
524,N201806589,2.0,3.0,88.70151770657777
543,N201806854,2.0,3.0,88.87015177065872
407,N201804871,2.0,3.0,89.03878583473967
444,N201805499,2.0,3.0,89.20741989882062
502,N201806441,2.0,3.0,89.37605396290157
504,N201806459,2.0,3.0,89.54468802698251
527,N201806601,2.0,3.0,89.71332209106346
431,N201805272,2.0,3.0,89.88195615514441
497,N201806407,2.0,3.0,90.05059021922536
414,N201805065,2.0,3.0,90.2192242833063
566,N201807288,2.0,3.0,90.38785834738725
471,N201805992,2.0,3.0,90.5564924114682
441,N201805463,2.0,3.0,90.72512647554915
387,N201804398,2.0,3.0,90.8937605396301
590,N201900015,2.0,3.0,91.06239460371104
562,N201807179,2.0,3.0,91.23102866779199
454,N201805746,2.0,3.0,91.39966273187294
482,N201806193,2.0,3.0,91.56829679595388
437,N201805343,2.0,3.0,91.73693086003483
456,N201805760,2.0,3.0,91.90556492411578
472,N201806034,2.0,3.0,92.07419898819673
572,N201807410,2.0,3.0,92.24283305227767
552,N201807036,2.0,3.0,92.41146711635862
500,N201806425,2.0,3.0,92.58010118043957
465,N201805931,2.0,3.0,92.74873524452052
445,N201805502,2.0,3.0,92.91736930860147
486,N201806256,2.0,3.0,93.08600337268241
510,N201806491,2.0,3.0,93.25463743676336
488,N201806283,2.0,3.0,93.42327150084431
453,N201805745,2.0,3.0,93.59190556492526
581,N201900006,2.0,3.0,93.7605396290062
426,N201805209,2.0,3.0,93.92917369308715
534,N201806690,2.0,3.0,94.0978077571681
451,N201805723,2.0,3.0,94.26644182124905
523,N201806586,2.0,3.0,94.43507588533
591,N201900016,2.0,3.0,94.60370994941094
503,N201806442,2.0,3.0,94.77234401349189
481,N201806183,2.0,3.0,94.94097807757284
565,N201807220,2.0,3.0,95.10961214165378
423,N201805169,2.0,3.0,95.27824620573473
404,N201804739,2.0,3.0,95.44688026981568
573,N201807435,2.0,3.0,95.61551433389663
461,N201805880,2.0,3.0,95.78414839797757
507,N201806479,2.0,3.0,95.95278246205852
405,N201804761,2.0,3.0,96.12141652613947
483,N201806197,2.0,3.0,96.29005059022042
382,N201804229,2.0,3.0,96.45868465430136
532,N201806679,2.0,3.0,96.62731871838231
511,N201806496,2.0,3.0,96.79595278246326
499,N201806419,2.0,3.0,96.96458684654421
478,N201806148,2.0,3.0,97.13322091062516
458,N201805787,2.0,3.0,97.3018549747061
448,N201805589,2.0,3.0,97.47048903878705
422,N201805166,2.0,3.0,97.639123102868
509,N201806488,2.0,3.0,97.80775716694895
439,N201805364,2.0,3.0,97.9763912310299
459,N201805789,2.0,3.0,98.14502529511084
447,N201805579,2.0,3.0,98.31365935919179
541,N201806798,2.0,3.0,98.48229342327274
512,N201806500,2.0,3.0,98.65092748735368
548,N201806940,2.0,3.0,98.81956155143463
530,N201806628,2.0,3.0,98.98819561551558
521,N201806569,2.0,3.0,99.15682967959653
556,N201807064,2.0,3.0,99.32546374367747
480,N201806174,2.0,3.0,99.49409780775842
546,N201806908,2.0,3.0,99.66273187183937
501,N201806433,2.0,3.0,99.83136593592032
539,N201806753,2.0,3.0,100.00000000000126
