,NIP,Cl_P1
1154,N201403696,0
1155,N201403698,1
1156,N201403700,1
1157,N201403716,1
1158,N201403728,1
1159,N201403730,1
1160,N201403736,1
1161,N201403762,1
1162,N201403771,1
1163,N201403835,1
1164,N201403891,0
1165,N201403934,1
1166,N201403973,3
1167,N201403980,1
1168,N201404072,1
1169,N201404099,1
1170,N201404100,1
1171,N201404118,1
1172,N201404122,1
1173,N201404131,1
1174,N201404293,1
1175,N201404316,1
1176,N201404400,1
1177,N201404499,1
1178,N201404524,1
1179,N201404526,1
1180,N201404609,3
1181,N201404621,1
1182,N201404628,1
1183,N201404648,1
1184,N201404675,3
1185,N201404730,1
1186,N201404736,1
1187,N201404744,1
1188,N201404770,1
1189,N201404915,1
1190,N201404970,1
1191,N201405144,3
1192,N201405146,0
1193,N201405165,1
1194,N201405168,2
1195,N201405306,1
1196,N201405421,1
1197,N201405458,1
1198,N201405502,1
1199,N201405518,1
1200,N201405575,1
1201,N201405577,1
1202,N201405584,1
1203,N201405609,1
1204,N201405645,1
1205,N201405678,1
1206,N201405696,1
1207,N201405706,1
1208,N201405756,1
1209,N201405759,1
1210,N201405779,1
1211,N201405797,1
1212,N201405805,0
1213,N201405862,1
1214,N201405917,1
1215,N201405926,1
1216,N201405973,3
1217,N201405976,0
1218,N201406000,1
1219,N201406034,1
1220,N201406074,1
1221,N201406179,1
1222,N201406191,1
1223,N201406426,1
1224,N201406431,1
1225,N201406466,1
1226,N201406500,1
1227,N201406502,1
1228,N201406552,1
1229,N201406560,1
1230,N201406618,1
1231,N201406658,1
1232,N201406715,3
1233,N201406761,3
1234,N201406786,1
1235,N201406891,1
1236,N201406901,1
1237,N201406911,1
1238,N201406938,1
1239,N201406988,1
1240,N201406997,1
1241,N201407034,3
1242,N201407061,1
1243,N201407093,3
1244,N201407205,1
1245,N201407210,1
1246,N201407223,1
1247,N201407244,1
1248,N201407258,1
1249,N201407332,1
1250,N201407351,1
1251,N201407404,1
1252,N201407412,1
1253,N201407417,1
1254,N201407436,1
1255,N201407466,1
1256,N201407469,1
1257,N201500137,1
1258,N201500153,1
1259,N201500170,1
1260,N201500209,1
1261,N201500212,3
1262,N201500214,1
1263,N201500217,1
1264,N201500243,1
1265,N201500260,1
1266,N201500310,1
1267,N201500318,3
1268,N201500354,1
1269,N201500422,1
1270,N201500510,1
1271,N201500520,1
1272,N201500553,1
1273,N201500660,1
1274,N201500687,1
1275,N201500698,1
1276,N201500732,1
1277,N201500737,1
1278,N201500774,0
1279,N201500978,1
1280,N201500989,1
1281,N201501000,1
1282,N201501021,1
1283,N201501027,1
1284,N201501114,3
1285,N201501192,0
1286,N201501193,1
1287,N201501263,3
1288,N201501313,1
1289,N201501319,1
1290,N201501322,1
1291,N201501382,1
1292,N201501427,1
1293,N201501451,1
1294,N201501465,1
1295,N201501499,1
1296,N201501522,1
1297,N201501637,3
1298,N201501680,1
1299,N201501685,1
1300,N201501695,3
1301,N201501709,1
1302,N201501780,1
1303,N201501817,1
1304,N201501821,1
1305,N201501828,1
1306,N201501838,1
1307,N201501924,1
1308,N201501960,1
1309,N201501983,3
1310,N201501996,1
1311,N201502073,1
1312,N201502083,3
1313,N201502101,1
1314,N201502105,1
1315,N201502143,1
1316,N201502144,1
1317,N201502210,1
1318,N201502330,1
1319,N201502374,1
1320,N201502403,1
1321,N201502433,1
1322,N201502516,1
1323,N201502546,1
1324,N201502590,1
1325,N201502608,3
1326,N201502620,1
1327,N201502630,1
1328,N201502632,1
1329,N201502656,1
1330,N201502664,1
1331,N201502685,1
1332,N201502693,1
1333,N201502695,3
1334,N201502740,1
1335,N201502749,0
1336,N201502756,1
1337,N201502761,1
1338,N201502762,1
1339,N201502816,3
1340,N201502841,1
1341,N201502877,3
1342,N201502886,1
1343,N201502915,1
1344,N201503003,1
1345,N201503005,1
1346,N201503033,1
1347,N201503052,1
1348,N201503054,1
1349,N201503063,1
1350,N201503079,1
1351,N201503255,1
1352,N201503259,0
1353,N201503276,1
1354,N201503290,0
1355,N201503313,1
1356,N201503396,1
1357,N201503400,1
1358,N201503431,1
1359,N201503457,1
1360,N201503471,1
1361,N201503480,1
1362,N201503536,1
1363,N201503545,1
1364,N201503587,1
1365,N201503772,3
1366,N201503808,1
1367,N201503834,1
1368,N201503860,1
1369,N201503867,1
1370,N201503899,1
1371,N201503907,1
1372,N201503922,3
1373,N201503946,3
1374,N201503973,1
1375,N201503990,1
1376,N201504019,1
1377,N201504038,1
1378,N201504055,1
1379,N201504059,3
1380,N201504120,1
1381,N201504130,1
1382,N201504157,1
1383,N201504183,1
1384,N201504201,1
1385,N201504209,1
1386,N201504270,1
1387,N201504276,1
1388,N201504281,1
1389,N201504323,3
1390,N201504382,0
1391,N201504410,1
1392,N201504503,1
1393,N201504515,1
1394,N201504526,1
1395,N201504552,1
1396,N201504596,0
1397,N201504609,1
1398,N201504689,1
1399,N201504699,1
1400,N201504734,1
1401,N201504743,1
1402,N201504755,1
1403,N201504869,1
1404,N201504898,1
1405,N201504928,1
1406,N201505003,1
1407,N201505023,1
1408,N201505036,1
1409,N201505070,1
1410,N201505112,1
1411,N201505203,1
1412,N201505251,1
1413,N201505257,1
1414,N201505285,3
1415,N201505372,1
1416,N201505377,1
1417,N201505396,1
1418,N201505403,1
1419,N201505411,3
1420,N201505424,1
1421,N201505459,1
1422,N201505473,1
1423,N201505503,1
1424,N201505523,1
1425,N201505539,1
1426,N201505544,1
1427,N201505559,1
1428,N201505568,1
1429,N201505572,1
1430,N201505605,0
1431,N201505635,0
1432,N201505671,1
1433,N201505682,3
1434,N201505693,1
1435,N201505757,1
1436,N201505832,3
1437,N201505841,1
1438,N201505850,1
1439,N201505911,1
1440,N201505915,1
1441,N201505939,1
1442,N201505979,1
1443,N201505993,1
1444,N201505995,0
1445,N201505996,1
1446,N201506011,1
