,NIP,Cl_P
1067,N201806789,2
1068,N201806796,3
1069,N201806798,2
1070,N201806804,2
1071,N201806805,1
1072,N201806831,0
1073,N201806851,3
1074,N201806854,2
1075,N201806873,1
1076,N201806879,1
1077,N201806883,1
1078,N201806895,2
1079,N201806902,2
1080,N201806903,3
1081,N201806908,2
1082,N201806911,2
1083,N201806918,3
1084,N201806931,2
1085,N201806938,3
1086,N201806940,2
1087,N201806946,2
1088,N201806947,2
1089,N201806956,2
1090,N201806993,0
1091,N201806996,1
1092,N201807009,2
1093,N201807015,2
1094,N201807023,2
1095,N201807030,2
1096,N201807036,2
1097,N201807038,3
1098,N201807044,3
1099,N201807048,2
1100,N201807060,3
1101,N201807061,3
1102,N201807064,2
1103,N201807067,1
1104,N201807068,0
1105,N201807070,2
1106,N201807077,2
1107,N201807091,0
1108,N201807092,2
1109,N201807105,2
1110,N201807130,1
1111,N201807136,2
1112,N201807140,0
1113,N201807157,0
1114,N201807163,2
1115,N201807177,2
1116,N201807179,2
1117,N201807191,2
1118,N201807197,3
1119,N201807209,3
1120,N201807215,3
1121,N201807220,2
1122,N201807224,2
1123,N201807231,0
1124,N201807236,3
1125,N201807248,3
1126,N201807275,2
1127,N201807288,2
1128,N201807295,0
1129,N201807310,1
1130,N201807316,0
1131,N201807335,3
1132,N201807340,2
1133,N201807347,0
1134,N201807348,1
1135,N201807350,0
1136,N201807368,1
1137,N201807376,2
1138,N201807389,3
1139,N201807395,1
1140,N201807407,1
1141,N201807409,3
1142,N201807410,2
1143,N201807421,1
1144,N201807424,2
1145,N201807435,3
1146,N201807436,3
1147,N201807437,1
1148,N201807452,2
1149,N201900001,0
1150,N201900002,3
1151,N201900003,0
1152,N201900004,2
1153,N201900005,0
1154,N201900006,2
1155,N201900007,2
1156,N201900008,0
1157,N201900009,0
1158,N201900010,0
1159,N201900011,0
1160,N201900012,0
1161,N201900013,0
1162,N201900014,0
1163,N201900015,3
1164,N201900016,2
1165,N201900017,1
1166,N201900018,0
1167,N201900019,0
1168,N201900020,0
1169,N201900021,3
1170,N201900022,3
1171,N201900023,1
1172,N201900024,0
1173,N201900026,3
